query,clicks,impressions,ctr,position
sovn,0,100,0,75.7
søvn,0,76,0,74.7
søvnfaser,0,15,0,74.2
hva er søvn,0,5,0,62.6
søvn og hvile,0,3,0,55.0
lett søvn,0,3,0,87.7
hva er kjernesøvn,0,1,0,45.0
hva er somnolens,0,1,0,62.0
hva er lett søvn,0,1,0,63.0
kjernesøvn,0,1,0,74.0
hva er god søvn,0,1,0,78.0
når drømmer man,0,1,0,79.0
fakta om søvn,0,1,0,95.0
